Jeet Association for Support to Cancer Patients (JASCAP) - NGO,"c/o Suresh & Co., 3, Nanumal Niwas, Jerbai Wadia Road, Parel, East, Mumbai – 400012, India"
Jehangir Hospital,"32, Sassoon Road, Pune 411 001"
Jupiter Hospital Pune,"Near Ambedkar Bridge, Opp. Rutuparna Society, Baner Pimple - Nilakh Road, Baner, Pune - 411045"
Kamalanayan Bajaj Cancer Care Centre Ruby Hall Clinic,"40, Sassoon Road, Pune - 41 1 001 (lNDlA)"
Kamalnayan Bajaj Hospital (Marathwada Medical and Research Institute),"Gut no 43, Satara Parisar, Bajaj Marg, Beed Bypass Road, Aurangabad 431010"
Karkinos Healthcare Private Limited,"B702, 7th Floor, Neelkanth Business park, Kirol Village, Near Bus Depot, VidyaVihar (West), Mumbai 400086"
"Khandesh Cancer Centre, Dhule","Plot NO. 16, Badgujar Plots, 90 Feet Road, Parole Road, Dhule 424001"
Kokilaben Dhirubhai Ambani Hospital,"Rao Saheb Achutrao, Patwardhan Marg, Four Bungalows, Andheri (W), Mumbai 400 053"
Kolhapur Cancer Centre,"A/P R. S. No. 238, Gokul Shirgaon, Karveer, Kolhapur 416 234"
Krishna Institute of Medical Sciences,"NH4, Pune - Bangalore Highway, Dist.Satara, Agashivnagar, Malkapur, Karad, 415539, Maharashtra"
Krupmayai Hospitals,"'Akshay', opp Youth Hostel , Near Baba Petrol Pump Aurangabad, Maharashtra"
